Invoice Date,Transaction Type,Order Id,Shipment Date,Order Date,Shipment Item Id,Item Description,Invoice Amount
6/2/2024,Shipment,804-5805572-5278105,2024-06-02 17:37:36,6/1/2024,393576684544,Product A,257
6/2/2024,Shipment,704-1168049-9270186,2024-06-03 15:53:18,6/1/2024,393604971099,Product A,347
6/2/2024,Shipment,404-0368312-6159725,2024-06-02 12:24:33,6/1/2024,393575223479,Product A,723
6/2/2024,Shipment,171-2319514-1476063,2024-06-02 14:55:20,6/1/2024,392593287106,Product A,347
6/2/2024,Shipment,704-3575530-1217911,2024-06-02 15:40:51,6/1/2024,392024290270,Product A,1123
6/2/2024,Shipment,304-7530790-9451385,2024-06-02 11:21:36,6/1/2024,393625759324,Product A,347
6/2/2024,Shipment,204-2640297-1097514,2024-06-02 15:40:44,6/1/2024,392611202489,Product A,3060
6/2/2024,Shipment,204-2640297-1097514,2024-06-02 15:40:44,6/1/2024,392611205500,Product A,1273
6/2/2024,Shipment,504-7595659-5032939,2024-06-02 15:34:00,6/1/2024,393624889845,Product A,383
6/2/2024,Shipment,404-6096982-0457222,2024-06-02 21:01:13,6/1/2024,392611209787,Product A,641
6/2/2024,Refund,404-6096982-0457222,2024-06-02 21:01:13,6/1/2024,392611209787,Product A,-641
6/2/2024,Shipment,171-1636199-3134650,2024-06-02 14:17:41,6/1/2024,393577655273,Product A,799
6/2/2024,Shipment,804-8649439-6370755,2024-06-03 1:57:40,6/1/2024,392055610957,Product A,572
6/2/2024,Shipment,704-4591047-0611019,2024-06-02 22:07:38,6/1/2024,393048110970,Product A,567
6/2/2024,Shipment,504-7485844-2036114,2024-06-02 18:02:16,6/1/2024,394123243719,Product A,356
6/2/2024,Shipment,704-5937378-8159998,2024-06-03 0:44:23,6/1/2024,393609843582,Product A,994
6/2/2024,Shipment,204-2391294-5534813,2024-06-03 15:48:15,6/1/2024,393625056411,,1243
6/2/2024,Cancel,604-1697819-4359921,,,393056472892,,0
6/2/2024,Cancel,604-1697819-4359921,,,393624836656,Product A,0
6/2/2024,Shipment,604-1697819-4359921,2024-06-04 15:56:47,6/1/2024,393624836656,Product A,2063
6/2/2024,Shipment,604-1697819-4359921,2024-06-04 15:56:47,6/1/2024,393056472892,Product A,4132
6/2/2024,Refund,604-1697819-4359921,2024-06-04 15:56:47,6/1/2024,393624836656,Product A,-2063
6/2/2024,Refund,604-1697819-4359921,2024-06-04 15:56:47,6/1/2024,393056472892,Product A,-4132
6/2/2024,Shipment,304-3075255-6338853,2024-06-02 3:54:34,6/1/2024,392045169301,,572
6/2/2024,Cancel,171-5862712-4351927,,,393051443553,Product A,0
6/2/2024,Shipment,171-1435288-1459936,2024-06-02 21:32:46,6/1/2024,393070023992,,692
6/2/2024,Cancel,804-6212229-3270168,,,393593261329,Product A,0
6/2/2024,Shipment,804-6212229-3270168,2024-06-02 10:56:20,6/1/2024,393595570070,Product A,510
6/2/2024,Shipment,171-5862712-4351927,2024-06-02 15:29:57,6/1/2024,393070036011,Product A,447
6/2/2024,FreeReplacement,804-6382228-7191842,2024-06-02 15:29:33,6/1/2024,392030256708,Product A,0
6/2/2024,Shipment,604-6319433-0274535,2024-06-02 20:24:37,6/1/2024,393625819180,,349
6/2/2024,Shipment,304-3636850-3276691,2024-06-03 20:19:17,6/1/2024,392578793798,Product A,340
6/2/2024,Shipment,304-8865845-8674531,2024-06-02 19:05:38,6/1/2024,392581275839,Product A,587
6/2/2024,Cancel,504-4022184-1595279,,,393625105463,,0
6/2/2024,Shipment,504-4022184-1595279,2024-06-04 16:05:25,6/1/2024,393625105463,Product A,1066
6/2/2024,Shipment,704-1464334-9355326,2024-06-03 12:02:12,6/1/2024,392055707836,Product A,994
6/2/2024,Shipment,604-6987340-3078197,2024-06-05 3:02:41,6/1/2024,392611361961,Product A,321
6/2/2024,Shipment,204-6770586-0072223,2024-06-02 15:50:54,6/1/2024,392012196874,Product A,558
6/2/2024,Shipment,204-6770586-0072223,2024-06-02 15:50:54,6/1/2024,393599773448,Product A,594
6/2/2024,Shipment,304-4386190-0472887,2024-06-05 15:50:54,6/1/2024,393050919006,Product A,698
6/2/2024,Shipment,504-4758815-0519681,2024-06-02 3:50:12,6/1/2024,394076290979,Product A,442
6/2/2024,Shipment,304-1657447-3136904,2024-06-02 21:29:37,6/2/2024,393625420355,Product A,433.5
6/2/2024,Refund,304-1657447-3136904,2024-06-02 21:29:37,6/2/2024,393625420355,Product A,-433.5
